team_name,player_id,player_name,Score_Posesion_25,Score_Progresion_25,Score_Territoriales_25,Score_Contencion_25,Score_Overall_25,Score_Posesion_26,Score_Progresion_26,Score_Territoriales_26,Score_Contencion_26,Score_Overall_26,Overall_Score_Final,Cost_Share
Santos Laguna,99579,Salvador Mariscal,76.10837438423647,27.47126436781609,54.87068965517241,77.54601720118961,56.49534876043497,49.501661129568106,51.16279069767442,42.53488372093023,73.37507453786523,53.03298832949996,53.72546041568696,0.007
Monterrey,29051,Jorge Agustín Rodríguez,73.64532019704436,56.1392832995267,35.50862068965517,66.9359376255928,57.51745773665145,42.5249169435216,57.18111346018323,42.99999999999999,62.36583184257602,51.008729642450575,52.31047526129075,0.04
Mazatlán,43330,Alan Eduardo Torres Villanueva,80.7881773399015,67.70791075050711,31.76724137931035,16.93046919163369,51.83732174328183,,,,,,51.83732174328183,0.061
Mazatlán,26361,Jordan Steeven Sierra Flores,42.118226600985224,52.59634888438134,68.66379310344827,41.781207298448685,51.83065105111251,,,,,,51.83065105111251,0.119
Puebla,365447,Pablo Ariel Gamarra González,,,,,,37.209302325581405,40.11627906976744,73.51162790697676,60.22659511031604,51.760435301132986,51.760435301132986,0.006
Guadalajara,24124,Omar Nicolás Govea García,,,,,,55.14950166112958,67.61099365750529,37.18604651162791,34.5855694692904,50.28429903429903,50.28429903429903,0.027
Necaxa,31462,José Iván Rodríguez Rebollar,53.94088669950739,22.028397565922923,50.31896551724138,45.715778474399166,41.8166380188439,63.7873754152824,28.01973220577872,59.34883720930233,61.2701252236136,51.44399786260252,49.5185258938508,0.054
Querétaro,26341,Fernando Rubén González Pineda,64.03940886699507,38.37052062204192,60.163793103448285,57.82654127481714,54.12726493418684,66.77740863787376,47.38548273431994,37.44186046511628,38.25283243887895,47.92102858381928,49.162275853892794,0.027
Toluca,52104,Franco Agustín Romero,59.35960591133005,40.19607843137255,65.95689655172413,60.96776786431958,55.58150271803923,61.12956810631229,24.101479915433405,53.69767441860465,57.692307692307686,47.47571614432079,49.09687345906448,0.025
León,35738,Rodrigo Eduardo Echeverría Sáez,39.90147783251232,36.5449628127113,40.85344827586207,53.38357045253597,41.828934461414185,74.08637873754154,27.117688513037347,54.86046511627907,51.63983303518188,50.69998412440273,48.925774191805026,0.105
Pumas UNAM,47345,Adalberto Eliécer Carrasquilla Alcázar,44.334975369458135,82.06896551724138,34.560344827586206,20.914717466441605,48.527463197721815,,,,,,48.527463197721815,0.153
Guadalajara,274998,Diego Campillo Del Campo,42.61083743842365,53.57674104124409,49.92241379310345,45.759987139297486,48.3583325481145,,,,,,48.3583325481145,0.052
Pachuca,135200,Alán Ernesto Bautista Gutiérrez,,,,,,31.8936877076412,68.0338266384778,35.74418604651163,52.764010674799856,47.872418565041514,47.872418565041514,0.006
Santos Laguna,37591,Aldo López Vargas,56.65024630541872,32.42055442866803,40.42241379310345,69.06197251024837,47.80672585528063,,,,,,47.80672585528063,0.024
Guadalajara,26386,Luis Francisco Romo Barrón,41.87192118226602,75.48343475321163,27.83620689655172,35.26042922594647,47.124148290857214,,,,,,47.124148290857214,0.154
Puebla,75948,Luis Gabriel Rey Mejía,,,,,,37.87375415282393,60.46511627906977,48.97674418604651,31.186642814549792,46.0894880313485,46.0894880313485,0.019
Querétaro,43720,Ángel Eduardo Zapata Praga,,,,,,47.8405315614618,33.0091613812544,42.97674418604651,63.80441264162194,45.367949879577786,45.367949879577786,0.056
Monterrey,32979,Fidel Daniel Ambríz González,42.61083743842365,27.52535496957404,51.62931034482759,63.68660075556627,44.55496358779828,46.843853820598014,36.627906976744185,59.53488372093024,36.493738819320214,44.88180424226936,44.81643611137514,0.051
León,431303,Ángel Tadeo Estrada Meza,21.921182266009858,43.66463826910075,52.45689655172414,64.30552206414275,44.55501559799227,,,,,,44.55501559799227,0.006
Atlas,26324,Aldo Paul Rocha González,53.44827586206897,48.532792427315755,37.33620689655172,24.65034965034965,42.18602834791983,38.205980066445186,37.51937984496123,63.95348837209303,40.25924513915364,44.847530090953654,44.31522974234689,0.046
Pachuca,198802,Pedro Pedraza Reyna,42.85714285714286,41.74442190669371,71.50862068965517,78.62912949119846,56.84059335694731,39.202657807308974,13.953488372093023,43.81395348837209,76.35658914728681,40.21151716500553,43.53733240339389,0.024
Puebla,26320,Pablo González Díaz,32.758620689655174,29.74137931034483,61.37068965517241,52.744956193232056,43.00373261795676,,,,,,43.00373261795676,0.055
Atlas,404015,Víctor Hugo Ríos de Alba,,,,,,55.48172757475084,23.837209302325583,40.30232558139536,59.27251043530113,42.95167816679445,42.95167816679445,0.005
Juárez,42479,Guilherme Castilho Carvalho,46.55172413793103,54.87491548343476,45.68103448275862,40.21179969455831,47.5630242391145,14.950166112956811,46.79351656095842,43.83720930232558,61.21049493142516,40.976997808393165,42.29420309453743,0.101
Necaxa,32916,Diego Eduardo De Buen Juárez,66.25615763546799,16.71399594320487,25.629310344827587,53.8280684832409,38.75117947468354,66.4451827242525,38.66102889358704,30.23255813953488,36.672629695885504,43.10226982320006,42.232051753496755,0.095
Santos Laguna,26289,Javier Güemez López,56.65024630541872,59.3238674780257,37.008620689655174,58.62470862470863,52.93681871711792,60.465116279069775,44.41155743481325,23.162790697674417,23.881932021466906,39.00683037892341,41.79282804656231,0.041
Querétaro,359908,Luis Eduardo Gutiérrez Castellanos,50.24630541871922,23.27586206896552,63.71551724137931,30.530102081826215,41.57923470207953,,,,,,41.57923470207953,0.013
Puebla,27860,Franco David Moyano,48.522167487684726,37.5,37.76724137931034,41.604372638855395,41.14322674451985,,,,,,41.14322674451985,0.036
Atlético San Luis,31050,Óscar Uriel Macías Mora,35.96059113300493,58.67478025693037,49.66379310344828,44.721083514186965,47.95274683902981,27.57475083056479,46.38477801268499,43.6046511627907,26.863446630888493,37.08297322832207,39.25692795046362,0.032
Tijuana,27948,Kevin Rafael Escamilla Moreno,40.88669950738917,23.59026369168357,40.73275862068965,52.25866087935053,37.93367581539488,63.45514950166113,12.209302325581394,40.90697674418605,46.4221824686941,39.037758752875035,38.81694216537901,0.05
Querétaro,30572,Federico Eduardo Lértora,44.33497536945813,31.7579445571332,36.560344827586206,45.09685716582269,38.77058484956558,,,,,,38.77058484956558,0.071
Club América,43555,Erick Daniel Sánchez Ocegueda,16.748768472906406,69.82420554428668,44.47413793103448,27.69926512153759,41.79284128857874,27.574750830564785,51.86751233262861,36.02325581395349,20.968356843309188,35.65342672957999,36.881309641379744,0.088
Juárez,28208,Jonathan Alexander González Mendoza,45.81280788177341,7.762001352265045,44.61206896551724,57.8068483240897,36.49618928232012,,,,,,36.49618928232012,0.038
Mazatlán,30701,José Joaquín Esquivel Martínez,,,,,,40.53156146179403,13.587033121916845,49.25581395348838,43.82826475849731,35.28860674209512,35.28860674209512,0.079
Atlas,438466,Paulo Ramírez Barboza,,,,,,19.601328903654487,24.66525722339676,51.48837209302326,48.38998211091234,34.84999883837093,34.84999883837093,0.006
Mazatlán,31044,Jefferson Alfredo Intriago Mendoza,39.90147783251232,24.753211629479377,35.25000000000001,29.8227634434531,32.17838563566251,,,,,,32.17838563566251,0.086
Tijuana,23899,Frank Boya,33.004926108374384,20.25862068965517,65.0603448275862,52.39128687404549,41.072161315695794,14.950166112956811,12.980972515856235,51.30232558139535,38.562714449104085,28.169957568165728,30.75039831767174,0.05
Pumas UNAM,27897,Ulises Rivas Gilio,16.00985221674877,23.5632183908046,28.78448275862069,47.594646732577765,27.7864786075993,,,,,,27.7864786075993,0.029
