team_name,player_name,Score_AccionDefensiva_25,Score_ControlDefensivo_25,Score_Progresion_25,Score_ImpactoOfensivo_25,Score_Overall_25,Score_AccionDefensiva_26,Score_ControlDefensivo_26,Score_Progresion_26,Score_ImpactoOfensivo_26,Score_Overall_26,Overall_Score_Final,Cost_Share
Puebla,Juan Manuel Fedorco,83.85504201680672,38.605442176870746,20.72829131652661,30.357142857142858,45.51758203281312,35.36334073859429,64.62585034013604,49.5798319327731,42.85714285714286,52.12414850997869,50.802835214545574,0.008
Juárez,Jesús David Murillo Largacha,68.4138655462185,45.238095238095234,42.78711484593836,56.99404761904762,51.71743697478992,52.75132275132275,60.31746031746031,36.321195144724555,27.182539682539684,50.313180827886704,50.59403205726735,0.044
León,Jaine Stiven Barreiro Solis,72.4404761904762,64.79591836734693,71.82453416149069,60.119047619047606,67.64509390712807,41.058952316558816,44.897959183673464,54.66269841269842,44.64285714285714,45.86564510861816,50.22153486832014,0.02
Pachuca,Gustavo Daniel Cabral Cáceres,46.79621848739496,58.84353741496598,36.55797101449275,46.279761904761905,50.11821685195817,,,,,,50.11821685195817,0.047
Club América,Ramón Juárez Del Castillo,44.56932773109244,62.58503401360544,38.16526610644257,69.19642857142857,53.858293317326925,48.94877491226376,55.32879818594104,31.652661064425768,56.150793650793645,49.08076448970392,50.03627025522851,0.008
Tijuana,Rafael Eduardo Fernández Inzunza,54.23319327731093,48.129251700680264,49.337474120082824,47.916666666666664,49.87562307531708,,,,,,49.87562307531708,0.013
Santos Laguna,Kevin Alexander Balanta Lucumí,63.406862745098046,46.25850340136054,72.74844720496895,56.39880952380952,56.8576126102615,79.66772916062978,39.002267573696145,21.130952380952383,54.563492063492056,47.15049238086039,49.09191642674061,0.045
Atlético San Luis,Miguel Ángel Vázquez García,29.968487394957982,55.78231292517006,62.79761904761904,33.63095238095238,48.51678171268507,,,,,,48.51678171268507,0.096
Santos Laguna,Bruno Amione,65.2626050420168,41.666666666666664,36.97478991596638,57.291666666666664,48.18977591036413,,,,,,48.18977591036413,0.034
Necaxa,Alejandro  Andrade Rivera,64.49229691876752,42.176870748299315,44.53781512605041,39.43452380952381,47.95368147258903,,,,,,47.95368147258903,0.006
