player_id,minutes,player_name
50551,1707,Luis Gustavo Sánchez Saucedo
27860,1682,Franco David Moyano
27234,1676,Christian Hernando Rivera Cuéllar
99579,1613,Salvador Mariscal
6357,1587,Jonathan dos Santos Ramírez
28562,1555,Luis Alfonso Rodríguez Alanís
275585,1545,Miguel Alonso García Álvarez
34261,1511,Jesús Andrés Rivas Gutiérrez
427772,1406,Jonathan Geovanni Pérez Sánchez
30701,1403,José Joaquín Esquivel Martínez
415002,1400,Dagoberto Espinoza Acosta
35545,1370,Adonis Uriel Frías
43309,1357,Alán Isidro Montes Castro
10570,1345,Antonio Briseño Vázquez
34361,1309,Óscar Haret Ortega Gatica
27306,1296,Jesús David Murillo Largacha
11388,1240,Néstor Alejandro Araújo Razo
399872,1237,Jorge Ernesto Berlanga Vázquez
35037,1231,Miguel Ángel Tapias Dávila
5564,1227,Carlos Joel Salcedo Hernández
189420,1218,Johan Rojas Echavarría
43327,1203,José David Ramírez García
6794,1197,Gustavo Daniel Cabral Cáceres
75948,1190,Luis Gabriel Rey Mejía
28480,1182,Tomás Oscar Badaloni
29521,1138,Claudio Andrés Baeza Baeza
123360,1112,Santiago Damián Homenchenko Bianchi
228470,1060,Everardo López
30945,968,Ismael Govea Solorzano
337757,968,Miguel Ángel Vázquez García
463885,892,Ángel Amhed Azuaje García
57938,882,Emilio Martínez González
159151,851,Santiago Núñez
27897,813,Ulises Rivas Gilio
276113,795,Fernando Monárrez Ochoa
28434,781,Sebastián Ignacio Vegas Orellana
406600,764,Ramiro Franco Zambrano
399978,743,Pablo Nicolás Ortíz Orozco
147298,743,Tomás Jacob
28170,733,Jesús Alonso Escoboza Lugo
206302,715,Miguel Alejandro Gómez Ortiz
7794,703,Samir Caetano de Souza Santos
43308,703,Jesús Alberto Alcantar Rodríguez
6572,665,Juan Pedro Ramírez López
44850,656,Jhojan Esmaides  Julio Palacios
422917,616,Martín Río
275853,615,Daniel Moisés Guillén Moreno
34373,607,Jonathan Ezequiel Perlaza Leiva
280913,599,Sebastián Olmedo Pereira
274994,581,Raúl Alejandro Martínez Ruiz
29237,579,Robson Alves de Barros
386286,557,Norman Andres Micolta Arroyo
44984,553,Alejandro  Andrade Rivera
26330,542,Vladimir Eduardo Loroña Aguilar
360095,538,Sergio Adrián Hernández Hernández
77115,528,Jorge Alejandro Rodríguez Hernández
239906,526,Leonardo Flores
483481,508,Santiago Sandoval González
37878,492,Diego Javier Medina Vázquez
30538,491,Richard Ledezma
26256,490,Igor Lichnovsky Osorio
34730,479,Mauricio Isais
45016,474,Francisco Contreras Báez
