player_id,player_name,minutes
75948.0,Luis Gabriel Rey Mejía,1190
28480.0,Tomás Oscar Badaloni,1182
29521.0,Claudio Andrés Baeza Baeza,1138
123360.0,Santiago Damián Homenchenko Bianchi,1112
228470.0,Everardo López,1060
337757.0,Miguel Ángel Vázquez García,968
30945.0,Ismael Govea Solorzano,968
463885.0,Ángel Amhed Azuaje García,892
57938.0,Emilio Martínez González,882
159151.0,Santiago Núñez,851
27897.0,Ulises Rivas Gilio,813
276113.0,Fernando Monárrez Ochoa,795
28434.0,Sebastián Ignacio Vegas Orellana,781
406600.0,Ramiro Franco Zambrano,764
147298.0,Tomás Jacob,743
399978.0,Pablo Nicolás Ortíz Orozco,743
28170.0,Jesús Alonso Escoboza Lugo,733
206302.0,Miguel Alejandro Gómez Ortiz,715
43308.0,Jesús Alberto Alcantar Rodríguez,703
7794.0,Samir Caetano de Souza Santos,703
6572.0,Juan Pedro Ramírez López,665
44850.0,Jhojan Esmaides  Julio Palacios,656
422917.0,Martín Río,616
275853.0,Daniel Moisés Guillén Moreno,615
34373.0,Jonathan Ezequiel Perlaza Leiva,607
280913.0,Sebastián Olmedo Pereira,599
274994.0,Raúl Alejandro Martínez Ruiz,581
29237.0,Robson Alves de Barros,579
386286.0,Norman Andres Micolta Arroyo,557
44984.0,Alejandro  Andrade Rivera,553
26330.0,Vladimir Eduardo Loroña Aguilar,542
360095.0,Sergio Adrián Hernández Hernández,538
77115.0,Jorge Alejandro Rodríguez Hernández,528
239906.0,Leonardo Flores,526
483481.0,Santiago Sandoval González,508
37878.0,Diego Javier Medina Vázquez,492
30538.0,Richard Ledezma,491
26256.0,Igor Lichnovsky Osorio,490
34730.0,Mauricio Isais,479
45016.0,Francisco Contreras Báez,474
