team_name,player_name,player_full_name,GM,Min,Age,player_position,games_by_team,minutes_played_by_team,minutes_played_percentage,total_gross_salary,signed,contract_expiration,season,transfer_window,club_id_tmkt,player_id,transfer_price,contract_length_years,player_annual_fee,player_annual_cost,team_total_salary,team_total_fees,team_total_cost,player_annual_cost_percentage
Cruz Azul,J. Paradela,José Paradela,27,2193,26,Right Attacking Midfielder,35,3150,0.7,1590000.0,11-07-2025,30-06-2029,25/26,Verano europeo,3711.0,639152.0,10270000.0,4.0,2567500.0,4157500,23380000.0,28637500,52017500,0.08
Tijuana,J. Porozo,Jackson Porozo,25,2185,25,Right Centre Back,26,2340,0.93,850000.0,30-01-2025,31-12-2025,,,,,,0.0,,850000,11350000.0,11783333,23133333,0.037
Atlético San Luis,J. Sanabria,Juan Manuel Sanabria,25,2183,25,Left Back,26,2340,0.93,90000.0,05-07-2023,30-06-2026,,,,,,3.0,,90000,8040000.0,1600000,9640000,0.009
Monterrey,Sergio Canales,Sergio Canales,26,2174,34,Right Attacking Midfielder,36,3240,0.67,7710000.0,24-07-2023,30-06-2026,,,,,,3.0,,5850000,47650000.0,10834167,61864167,0.095
Cruz Azul,Á. Sepúlveda,Ángel Sepúlveda,33,2173,34,Centre Forward,35,3150,0.69,750000.0,29-08-2023,30-06-2026,,,,,,3.0,,750000,23380000.0,28637500,52017500,0.014
Cruz Azul,G. Piovi,Gonzalo Piovi,27,2170,31,Left Centre Back,35,3150,0.69,530000.0,01-01-2024,31-12-2026,,,,,,2.0,,530000,23380000.0,28637500,52017500,0.01
Juárez,J. Rodríguez,José Luis Rodríguez,27,2162,27,Left Midfielder,28,2520,0.86,700000.0,01-07-2025,30-06-2028,25/26,Verano europeo,49283.0,425028.0,1700000.0,3.0,566667.0,1266667,12850000.0,5433333,18283333,0.069
Atlético San Luis,A. Sánchez,Andrés Sánchez,24,2160,28,Goalkeeper,26,2340,0.92,310000.0,01-07-2021,30-06-2026,,,,,,5.0,,310000,8040000.0,1600000,9640000,0.032
Santos Laguna,C. Acevedo,Carlos Acevedo,24,2159,29,Goalkeeper,24,2160,1.0,450000.0,31-07-2022,30-06-2027,,,,,,5.0,,450000,9150000.0,3645833,12795833,0.035
Toluca,F. Romero,Franco Romero,30,2159,25,Defensive Midfielder,34,3060,0.71,560000.0,15-01-2025,31-12-2027,24/25,Invierno europeo,1804.0,833115.0,1460000.0,2.0,730000.0,1290000,25380000.0,25421667,50801667,0.025
