player_name,team_name,minutes,matches,Score_Overall,Score_AccionDefensiva,Score_ControlDefensivo,Score_Progresion,Score_ImpactoOfensivo,Flags
José María Canale Domínguez,Querétaro,2076.0,22.0,42.60654261704682,57.531512605042025,37.585034013605444,32.07282913165266,48.95833333333333,Balanceado
Luis Gustavo Sánchez Saucedo,Mazatlán,1707.0,19.0,42.41746698679472,71.88025210084034,30.4421768707483,31.79271708683473,43.89880952380953,Acción Def
Raúl Alejandro Martínez Ruiz,Guadalajara,581.0,6.0,40.98964585834333,36.48109243697479,48.639455782312915,28.8515406162465,42.113095238095234,Balanceado
Anderson Santamaría Bardales,Santos Laguna,1876.0,21.0,40.97858310814444,60.2107683982684,26.70068027210884,40.75828157349896,57.589285714285715,Balanceado
Adrián Mora Barraza,Atlas,837.0,10.0,40.21608643457383,63.44187675070029,33.6734693877551,20.938375350140053,50.14880952380952,Balanceado
Victor Andrés Guzmán Olmedo,"Monterrey, Toluca",2014.0,22.0,39.801212876454926,41.38305322128852,30.4421768707483,60.77639751552795,36.011904761904766,Balanceado
Sergio Damián Barreto,Pachuca,1795.0,19.0,38.651085434173666,58.85504201680673,34.52380952380952,23.109243697478988,37.79761904761905,Balanceado
Jackson Gabriel Porozo Vernaza,Tijuana,1182.0,13.0,38.51853241296518,17.9936974789916,53.40136054421768,24.64985994397759,50.59523809523809,Balanceado
Hugo Martín Nervo,"Atlas, Guadalajara",3184.0,33.0,34.68036888668511,37.6015406162465,37.585034013605444,26.208592132505174,31.25,Balanceado
Óscar Gibram Manzanarez Pérez,Querétaro,1251.0,14.0,32.03134949632026,43.72899159663865,26.530612244897956,26.6796066252588,38.24404761904762,Balanceado
Santiago Núñez,Santos Laguna,851.0,9.0,31.191621213702867,41.418067226890756,21.088435374149658,30.24844720496894,52.976190476190474,Balanceado
Jonathan Geovanni Pérez Sánchez,Santos Laguna,1019.0,12.0,30.77582011065295,31.088935574229694,26.870748299319718,33.87422360248448,41.36904761904761,Balanceado
Alán Isidro Montes Castro,Necaxa,1357.0,14.0,30.691776710684273,38.161764705882355,15.986394557823129,39.35574229691876,60.86309523809524,Ofensivo
Alexis Francisco Peña López,Necaxa,1847.0,20.0,29.186299519807918,46.530112044817926,23.979591836734695,18.487394957983188,30.6547619047619,Balanceado
Sebastián Olmedo Pereira,Puebla,599.0,7.0,16.93221038415366,16.978291316526608,13.43537414965986,19.257703081232492,27.901785714285715,Balanceado
Norman Andres Micolta Arroyo,Pachuca,557.0,7.0,14.845938375350139,22.510504201680675,10.714285714285715,10.15406162464986,23.66071428571429,Balanceado
