player_id,match_id,season,minutes,starter,position_match,team,player_name,primary_position
26329,4004046,2025_2026,95,True,Left Defensive Midfield,Toluca,Marcel Alejandro Ruiz Suárez,Left Defensive Midfield
29408,4004046,2025_2026,74,True,Center Attacking Midfield,Toluca,Jesús Ricardo Angulo Uriarte,Right Wing
18784,4004046,2025_2026,64,True,Center Forward,Toluca,João Paulo Dias Fernandes,Center Forward
31462,4004046,2025_2026,82,True,Right Defensive Midfield,Necaxa,José Iván Rodríguez Rebollar,Center Defensive Midfield
37360,4004046,2025_2026,95,True,Left Center Back,Toluca,Andrés Federico Pereira Castelnoble,Left Center Back
27762,4004046,2025_2026,95,True,Goalkeeper,Necaxa,Luis Ezequiel Unsain,Goalkeeper
139124,4004046,2025_2026,95,True,Right Wing Back,Necaxa,Kevin Duvan Ante Rosero,Right Wing Back
37877,4004046,2025_2026,70,True,Right Wing,Necaxa,Ricardo Saúl Monreal Morales,Right Wing
27904,4036013,2025_2026,96,True,Right Defensive Midfield,Tigres UANL,Fernando Gorriarán Fontes,Left Defensive Midfield
51969,4036013,2025_2026,96,True,Right Center Back,Tijuana,Jackson Gabriel Porozo Vernaza,Right Center Back
28802,4036013,2025_2026,63,True,Center Attacking Midfield,Tijuana,Kevin Castañeda Vargas,Center Attacking Midfield
16259,4036013,2025_2026,96,True,Left Back,Tigres UANL,Marco Farfan,Left Back
22915,4036013,2025_2026,96,True,Right Midfield,Tigres UANL,Diego Lainez Leyva,Right Wing
28423,4036013,2025_2026,58,True,Left Center Back,Tigres UANL,Jesús Alberto Angulo Uriarte,Left Center Back
28561,4036013,2025_2026,96,True,Goalkeeper,Tigres UANL,Nahuel Ignacio Guzmán Palomeque,Goalkeeper
27153,4036013,2025_2026,96,True,Right Back,Tigres UANL,Javier Ignacio Aquino Carmona,Right Back
29586,4036013,2025_2026,96,True,Left Center Forward,Tigres UANL,Juan Francisco Brunetta,Right Defensive Midfield
122902,4036013,2025_2026,96,True,Right Center Back,Tigres UANL,Joaquim Henrique Pereira Silva,Right Center Back
37539,4036013,2025_2026,96,True,Left Defensive Midfield,Tigres UANL,Romulo Zanre Zwarg,Right Center Back
296106,4036013,2025_2026,96,True,Right Back,Tijuana,Rafael Eduardo Fernández Inzunza,Right Back
241323,4036013,2025_2026,96,True,Left Wing,Tijuana,Gilberto Rafael Mora Zambrano,Left Center Forward
27967,4036013,2025_2026,96,True,Left Center Back,Tijuana,Unai Bilbao Arteta,Left Center Back
30024,4036013,2025_2026,83,True,Left Defensive Midfield,Tijuana,Jesús Alejandro Gómez Molina,Left Center Back
33360,4036013,2025_2026,86,True,Center Forward,Tijuana,Morad Daoudi El Ghezouani,Center Forward
389205,4036013,2025_2026,96,True,Right Wing,Tijuana,Ramiro Árciga Zárate,Right Midfield
275687,4036013,2025_2026,96,True,Right Defensive Midfield,Tijuana,Iván Oswaldo Tona Olmeda,Left Defensive Midfield
6377,4036013,2025_2026,96,True,Right Center Forward,Tigres UANL,Ángel Martín Correa,Center Attacking Midfield
31985,4036013,2025_2026,77,True,Left Midfield,Tigres UANL,Jonathan Ozziel Herrera Morales,Left Midfield
27893,4036013,2025_2026,96,True,Goalkeeper,Tijuana,José Antonio Rodríguez Romero,Goalkeeper
80765,4036013,2025_2026,96,True,Left Back,Tijuana,Jesús Alan Vega Grijalva,Left Back
28160,4004148,2025_2026,26,True,Right Wing Back,Monterrey,Ricardo Chávez Soto,Right Back
51969,4004148,2025_2026,98,True,Right Center Back,Tijuana,Jackson Gabriel Porozo Vernaza,Right Center Back
28802,4004148,2025_2026,84,True,Left Center Forward,Tijuana,Kevin Castañeda Vargas,Center Attacking Midfield
296106,4004148,2025_2026,98,True,Right Back,Tijuana,Rafael Eduardo Fernández Inzunza,Right Back
5573,4004148,2025_2026,98,True,Center Back,Monterrey,Héctor Alfredo Moreno Herrera,Center Back
30024,4004148,2025_2026,98,True,Left Center Back,Tijuana,Jesús Alejandro Gómez Molina,Left Center Back
44747,4004148,2025_2026,77,True,Left Midfield,Tijuana,Adonis Stalin Preciado Quintero,Left Wing
33360,4004148,2025_2026,98,True,Right Center Forward,Tijuana,Morad Daoudi El Ghezouani,Center Forward
32979,4004148,2025_2026,45,True,Right Defensive Midfield,Monterrey,Fidel Daniel Ambríz González,Right Defensive Midfield
